Exp,run,densitytype,Bed_height,Particle_type,Init_Conc,Conservative,slope(tan),Temp,d50 (micron),Rhos(kgm),Rhoa(kgm),mu,Injection,Cprofile_available,submarine,flume_wide,n,Depositional,DepoThick(dm3),Bed Condition,Confined,IsNumerical
Hermidas2018,2,VC,0,sand&Clay,0.15,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,3,VC,0,sand&Clay,0.15,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,4,VC,0,sand&Clay,0.15,Non-Conservative,0.141,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,7,VC,0,sand&Clay,0.15,Non-Conservative,0.141,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,8,VC,0,sand&Clay,0.09,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,9,VC,0,sand&Clay,0.09,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,10,VC,0,sand&Clay,0.15,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,11,VC,0,sand&Clay,0.15,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,12,VC,0,sand&Clay,0.09,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,13,VC,0,sand&Clay,0.21,Non-Conservative,0.141,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,15,VC,0,sand&Clay,0.21,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,16,VC,0,sand&Clay,0.21,Non-Conservative,0.141,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,17,VC,0,sand&Clay,0.21,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,18,VC,0,sand&Clay,0.21,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,19,VC,0,sand&Clay,0.15,Non-Conservative,0.141,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,20,VC,0,sand&Clay,0.15,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,21,VC,0,sand&Clay,0.15,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,22,VC,0,sand&Clay,0.15,Non-Conservative,0.141,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,23,VC,0,sand&Clay,0.15,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,24,VC,0,sand&Clay,0.21,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,25,VC,0,sand&Clay,0.09,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,26,VC,0,sand&Clay,0.09,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,27,VC,0,sand&Clay,0.21,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,28,VC,0,sand&Clay,0.21,Non-Conservative,0.141,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,29,VC,0,sand&Clay,0.21,Non-Conservative,0.141,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,30,VC,0,sand&Clay,0.21,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,31,VC,0,sand&Clay,0.09,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
Hermidas2018,32,VC,0,sand&Clay,0.09,Non-Conservative,0.167,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
IslamImran2010,SecT1,BY,0,Silt,0.01,Non-Conservative,0.08,,25,2650,1000,Cohesionless,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT2,BY,0,Silt,0.01,Non-Conservative,0.08,,25,2650,1000,Cohesionless,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT3,BY,0,Silt,0.01,Non-Conservative,0.08,,25,2650,1000,Cohesionless,Injection,TRUE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT4,BY,0,Silt,0.01,Non-Conservative,0.08,,25,2650,1000,Cohesionless,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT5,BY,0,Silt,0.01,Non-Conservative,0.08,,25,2650,1000,Cohesionless,Injection,TRUE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT6,BY,0,Silt,0.01,Non-Conservative,0.00000001,,25,2650,1000,Cohesionless,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT7,BY,0,Silt,0.01,Non-Conservative,0.00000001,,25,2650,1000,Cohesionless,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT8,BY,0,Silt,0.01,Non-Conservative,0.00000001,,25,2650,1000,Cohesionless,Injection,TRUE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT9,BY,0,Silt,0.01,Non-Conservative,0.00000001,,25,2650,1000,Cohesionless,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT10,BY,0,Silt,0.01,Non-Conservative,0.00000001,,25,2650,1000,Cohesionless,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT11,BY,0,Silt,0.01,Non-Conservative,0.00000001,,25,2650,1000,Cohesionless,Injection,TRUE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecT12,BY,0,Silt,0.01,Non-Conservative,0.00000001,,25,2650,1000,Cohesionless,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecS1,BY,0,Salt,0.01,Conservative,0.08,,,,1000,Saline,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecS2,BY,0,Salt,0.01,Conservative,0.08,,,,1000,Saline,Injection,FALSE,subaqueous,30,,,,,Fully,FALSE
IslamImran2010,SecS3,BY,0,Salt,0.01,Conservative,0.08,,,,1000,Saline,Injection,TRUE,subaqueous,30,,,,,Fully,FALSE
