u3ghw,B
1.981757090036E+02,3.604713438392E+00
2.015255285018E+02,4.344972318242E+02
2.041818107929E+02,3.124971072156E+02
2.077474208691E+02,8.225041678566E+02
2.09402249483E+02,7.511065635625E+00
2.120834660427E+02,5.089749287987E+00
2.139997551731E+02,2.991802413468E+00
2.149833718998E+02,6.6736822697E+02
2.166417752484E+02,3.649051834854E+02
2.175459232694E+02,1.310129012727E+01
2.206228479823E+02,6.589638409081E+00
2.224513211074E+02,5.737696948083E+00
2.25310755093E+02,3.787533409148E+00
2.262100159871E+02,8.6763364346E+00
2.26724015399E+02,4.345876853373E+02
2.316206533002E+02,4.567040291099E+00
2.344009199575E+02,3.208793828876E+02
2.348038032963E+02,7.317467769505E+02
2.467802306481E+02,8.527782210232E+02
2.486775093153E+02,7.264524030761E+00
2.505385271634E+02,9.654366807085E+00
2.582849713458E+02,5.905674375926E+02
2.612046100555E+02,2.778891648854E+02
2.621377047743E+02,4.849892455431E+00
2.681996252029E+02,8.760367614077E+00
2.732991122652E+02,3.729707205653E+02
2.748680568899E+02,5.763282110703E+02
2.749491248163E+02,4.929389603367E+02
2.759268003679E+02,6.972850743103E+00
2.900954162199E+02,2.527513965779E+02
2.92982775926E+02,6.844325775426E+00
2.943567637461E+02,6.495735772649E+02
2.975901887659E+02,8.377229186761E+00
2.977254690469E+02,2.83980470636E+02
3.010625046384E+02,1.654785102891E+01
3.103854707144E+02,4.58082884487E+02
3.129998488861E+02,1.198611660401E+01
3.258443681404E+02,5.92623277878E+02
3.262687978918E+02,7.980757713135E+00
3.326269951944E+02,3.552472688583E+02
3.382446487041E+02,7.002446204736E+00
3.394476705913E+02,1.066703412508E+00
3.402111295363E+02,4.309194044156E+02
3.417278800449E+02,7.80137519439E+02
3.421172206881E+02,1.052788527403E+01
3.535393064852E+02,6.741242841329E+02
3.570479365291E+02,4.055267672155E+01
3.724347871358E+02,6.235714134114E+00
3.752007691559E+02,8.538939433518E+00
3.779979685837E+02,1.151916810657E+01
3.781394426039E+02,9.446888626091E+00
3.836857468272E+02,4.640392675067E+02
3.862344118284E+02,6.439379612384E+02
3.874716284112E+02,7.632631925617E+00
3.906691154723E+02,6.771361999279E+00
3.982357201172E+02,1.033551144712E+01
4.050927972836E+02,5.808619991678E+00
4.113605508195E+02,4.11697242533E+02
4.141738720505E+02,1.514002961706E+01
4.167822731268E+02,1.74718941049E+01
4.168749978749E+02,3.653274160726E+02
4.433888244186E+02,1.343304382394E+01
4.506477725507E+02,1.174036837924E+01
4.549404398807E+02,6.15185146707E+02
4.562600563884E+02,9.556708200636E+00
4.562683069818E+02,2.711436506842E+02
4.598771686735E+02,4.166584520516E+00
4.682561640454E+02,7.393467487148E+00
4.687927676409E+02,1.52001165541E+01
4.887965363071E+02,6.912512156071E+02
4.922354327083E+02,3.880757292074E+02
5.053391200861E+02,8.845778461153E+00
5.217652906332E+02,2.373127361512E+01
5.219587968955E+02,2.035989758297E+02
5.284572415899E+02,1.590159047783E+01
5.421046550365E+02,2.524642802917E+02
5.461523172151E+02,4.897321275005E+00
5.516273372789E+02,6.297139310872E+02
5.516538716352E+02,7.351012277386E+02
5.517765743186E+02,5.456070578298E+02
5.631272437966E+02,1.961089257917E+01
5.63182433798E+02,4.221495791349E+02
5.648395554679E+02,5.704890965084E+01
5.811337483332E+02,2.548481358672E+01
6.013825184853E+02,3.85113810772E+02
6.055493607919E+02,1.354140973468E+01
6.070347535847E+02,3.073067481798E+01
6.119876168039E+02,8.385600346095E+00
6.166897535657E+02,3.425416363765E+01
6.179963504166E+02,2.184689179903E+02
6.215022812624E+02,3.846792695998E+01
6.237594422936E+02,4.375159882097E+01
6.238737088555E+02,2.633801790978E+02
6.282974906159E+02,1.998967068033E+02
6.342911540706E+02,2.373255459093E+02
6.370929469204E+02,3.019516193302E+00
6.557136137527E+02,4.562291078799E+02
6.560357493871E+02,1.247303572376E+01
6.798919662104E+02,1.421934519589E+01
6.945104045714E+02,3.899628627666E+02
6.996656192925E+02,2.485327176066E+02
6.99910318055E+02,6.795349020563E+01
7.0343763552E+02,3.934999366779E+01
7.0849680022E+02,6.096659788794E+01
7.131185591022E+02,9.174157976214E+00
7.145351269556E+02,4.691788475828E+01
7.164446507409E+02,1.140345123213E+01
7.183879099937E+02,2.205453575166E+02
7.255962236062E+02,2.371785474309E+01
7.580176223617E+02,7.434921866124E+01
7.79895625954E+02,5.764856218338E+01
7.979196292735E+02,3.394744808281E+01
7.988914991475E+02,1.780828860767E+01
7.993403444129E+02,4.085960554467E+01
8.035786517887E+02,2.060141530003E+01
8.050705623005E+02,3.071317942606E+02
8.095510124091E+02,4.025910501399E+02
8.311580913763E+02,8.853558512085E+00
8.445295246938E+02,4.772287243892E+01
8.59713404129E+02,9.600082246002E+01
8.642001353656E+02,1.349931220373E+01
8.736919248395E+02,4.731175866262E+02
8.755250661201E+02,6.499528057288E+01
8.827874560824E+02,5.638099117233E+01
8.935901282362E+02,7.883013239758E+01
8.938474289712E+02,3.276079087578E+02
9.128914122746E+02,2.415652930719E+01
9.300273743583E+02,3.217924609894E+01
9.317900691225E+02,1.179594159593E+01
9.662566750277E+02,1.556512980818E+01
9.860198477266E+02,1.846501003456E+01
9.899423654616E+02,1.139587292701E+02
1.001882652626E+03,9.953097585112E+01
1.00292216878E+03,6.574481254132E+01
1.005872213121E+03,1.386130525843E+01
1.039223860852E+03,8.168590025258E+01
1.07816324917E+03,5.292473268462E+01
1.091576577811E+03,2.934908525363E+02
1.098153455535E+03,1.242239969342E+02
1.099223948482E+03,7.412017507682E+01
1.100925491839E+03,2.113071169122E+02
1.101484015332E+03,1.614992078343E+02
1.117401352681E+03,5.943818671534E+01
1.136007672654E+03,4.489442951305E+01
1.139662951647E+03,6.801204854547E+01
1.145662131637E+03,9.266791561602E+01
1.160260825908E+03,2.448699042292E+01
1.161419041151E+03,3.198217090499E+02
1.198850022464E+03,1.647006825603E+01
1.204109438718E+03,1.345677547115E+01
1.219575392684E+03,6.190892353552E+00
1.293183350684E+03,1.815545971151E+01
1.307596995056E+03,2.353660280814E+02
1.308299670051E+03,2.205583644715E+01
1.3083046043E+03,1.766921011268E+02
1.372385658233E+03,3.199160353352E+02
