Paper,run,submarine,Particle_type,Conserv,u3ghw,u2ghs,Uave[m/s],height,Fr,B,S1,S2,S3,slope,mu[kg/ms],ws[m/s],Cprofile
vanMaren,,subaerial,,Non-Conservative,445.448,,,,,0.01116333962264,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,451.176,,,,,0.00936390566038,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,491.655,,,,,0.00840316981132,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,489.902,,,,,0.00729735849057,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,664.518,,,,,0.00823879245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,564.37,,,,,0.00994856603774,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,606.573,,,,,0.01251633962264,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,561.55,,,,,0.01483754716981,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,630.304,,,,,0.01576652830189,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,761.439,,,,,0.01479022641509,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,870.071,,,,,0.01294720754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,840.407,,,,,0.01100518867925,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,741.168,,,,,0.00898160377358,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,761.14,,,,,0.00742375471698,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,807.393,,,,,0.00694120754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,974.707,,,,,0.00747481132075,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,924.829,,,,,0.00860926415094,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1089.092,,,,,0.00861175471698,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1000.853,,,,,0.00962728301887,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1064.791,,,,,0.01167826415094,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1294.447,,,,,0.00998343396226,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1307.911,,,,,0.00831101886792,,,,,,,FALSE
