,velocity,vel_ori,density,den_ori,eta
34,1.454969444157823,-1.0,1.6809435026737671,-1.0,0.06813627254509018
35,1.4627702245140142,-1.0,1.6808193871147812,-1.0,0.07014028056112225
36,1.4700299157292143,-1.0,1.6806976904428748,-1.0,0.0721442885771543
37,1.476790101551303,1.4877157531620107,1.6805783273634716,-1.0,0.07414829659318636
38,1.4830773740470875,-1.0,1.6804612818323743,-1.0,0.07615230460921843
39,1.4889183252833753,-1.0,1.6803463230900533,-1.0,0.0781563126252505
40,1.4943395473269732,-1.0,1.680233284928809,-1.0,0.08016032064128256
41,1.4993676322446887,-1.0,1.6801221926348537,-1.0,0.08216432865731463
42,1.5040291721033288,-1.0,1.68001277329664,-1.0,0.08416833667334668
43,1.508350758969701,-1.0,1.679904923386039,-1.0,0.08617234468937875
44,1.5123589849106125,-1.0,1.679798641411333,-1.0,0.08817635270541081
45,1.51608044199287,-1.0,1.6796936095198685,-1.0,0.09018036072144288
46,1.5195417222832812,-1.0,1.6795898271539969,-1.0,0.09218436873747494
47,1.5227694178486533,-1.0,1.679487209072041,-1.0,0.09418837675350701
48,1.5257901207557938,-1.0,1.679385429177912,-1.0,0.09619238476953906
49,1.528630423071509,-1.0,1.6792845793217004,-1.0,0.09819639278557113
50,1.5313169168626073,-1.0,1.6791844761903119,-1.0,0.1002004008016032
51,1.5338761941958954,-1.0,1.6790848229732143,-1.0,0.10220440881763526
52,1.5363198029827827,-1.0,1.6789857618458355,-1.0,0.10420841683366733
53,1.538638201914062,-1.0,1.6788870236105093,-1.0,0.1062124248496994
54,1.540838050509799,-1.0,1.6787883754931383,-1.0,0.10821643286573146
55,1.5429263116354337,-1.0,1.6786899559449968,-1.0,0.11022044088176351
56,1.544909948156407,-1.0,1.6785914331166472,-1.0,0.11222444889779558
57,1.5467959229381603,-1.0,1.6784926696768154,-1.0,0.11422845691382764
58,1.5485911988461334,-1.0,1.6783937426431377,-1.0,0.11623246492985971
59,1.550302738745768,-1.0,1.6782942881542924,-1.0,0.11823647294589178
60,1.5519375055025044,-1.0,1.678194287198424,-1.0,0.12024048096192384
61,1.5535024619817832,-1.0,1.678093703368887,-1.0,0.1222444889779559
62,1.5550045710490454,-1.0,1.6779921877941675,-1.0,0.12424849699398796
63,1.556450795569732,1.5560989861291505,1.6778898090266223,-1.0,0.12625250501002003
64,1.5578480984092833,-1.0,1.6777864204968338,-1.0,0.1282565130260521
65,1.5592034424331405,-1.0,1.6776817243893807,-1.0,0.13026052104208416
66,1.560523790506744,-1.0,1.6775758160500496,-1.0,0.13226452905811623
67,1.5618161054955346,-1.0,1.6774684777316953,-1.0,0.1342685370741483
68,1.5630873502649536,-1.0,1.6773594785211126,-1.0,0.13627254509018036
69,1.564334364584247,-1.0,1.6772488896500097,-1.0,0.13827655310621242
70,1.5655418767561196,-1.0,1.677136460281014,-1.0,0.1402805611222445
71,1.5667113408997488,-1.0,1.677022030249879,-1.0,0.14228456913827653
72,1.5678446662215935,-1.0,1.676905612128694,-1.0,0.1442885771543086
73,1.5689437619281124,-1.0,1.6767869548173575,-1.0,0.14629258517034066
74,1.5700105372257647,-1.0,1.676665959789299,-1.0,0.14829659318637273
75,1.5710469013210095,-1.0,1.6765425669496006,-1.0,0.1503006012024048
76,1.5720547634203055,-1.0,1.6764165525555603,-1.0,0.15230460921843686
77,1.5730360327301118,-1.0,1.6762878480146088,-1.0,0.15430861723446893
78,1.573992618456888,-1.0,1.6761563387958547,-1.0,0.156312625250501
79,1.574926429807092,-1.0,1.6760218415366395,-1.0,0.15831663326653306
80,1.5758393759871834,-1.0,1.6758842767744129,-1.0,0.16032064128256512
81,1.5767333662036218,-1.0,1.6757435134859064,-1.0,0.1623246492985972
